service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATS_HBL 23-34836,1,1,1,1,1,0,0,2023-11-14,2023-11-17
ATS_HBL 23-34836-0000100,0,0,0,0,1,0,0,2023-11-14,2023-11-17
ATS_HBL 23-34832,0,0,0,0,0,1,0,2023-11-18,2023-11-18
ATS_HBL 23-34828,0,0,0,0,0,0,1,2023-11-19,2023-11-19
ATS_HBL 23-34878,1,1,1,1,1,0,0,2023-11-20,2023-11-23
ATS_HBL 23-34878-0000100,0,0,0,0,1,0,0,2023-11-20,2023-11-23
ATS_MGB 23-34752,0,0,0,0,0,0,1,2023-11-19,2023-11-19
ATS_SBL 23-34756,0,0,0,0,0,1,0,2023-11-18,2023-11-18
ATS_SBL 23-34768,0,0,0,0,0,0,1,2023-11-19,2023-11-19
ATS_TBS 23-34241,1,1,1,1,1,0,0,2023-11-27,2023-11-27
ATS_TBS 23-34497,1,1,1,1,1,0,0,2023-11-28,2023-11-29
ATS_TBS 23-33932,1,1,1,1,1,0,0,2023-11-30,2023-11-30
BBL 23_24-33204,1,1,1,1,1,0,0,2023-11-14,2024-01-12
BCC 23_24-34446,1,1,1,1,0,0,0,2023-11-14,2024-01-11
BCC 23_24-34448,0,0,0,0,1,0,0,2023-11-17,2024-01-12
BCC 23_24-34449,0,0,0,0,0,1,0,2023-11-18,2024-01-13
BCC 23_24-34447,0,0,0,0,0,0,1,2023-11-19,2024-01-07
BITS 23_24-33239,1,1,1,1,1,0,0,2023-11-14,2024-01-12
BITS 23_24-33239-0000100,0,0,0,0,1,0,0,2023-11-14,2024-01-12
BITS 23_24-33237,0,0,0,0,0,1,0,2023-11-18,2024-01-13
BITS 23_24-33238,0,0,0,0,0,0,1,2023-11-19,2024-01-07
BITS 23_24-33236,1,1,1,1,1,1,1,2023-12-25,2023-12-25
CDC 23_24-34789,1,1,1,1,1,0,0,2023-11-14,2023-11-24
CDC 23_24-34839,1,1,1,1,1,0,0,2023-11-27,2023-12-01
CDC 23_24-34838,1,1,1,1,1,0,0,2023-12-04,2023-12-08
BT 23_24-34530,1,1,1,1,1,0,0,2023-11-14,2023-11-17
BT 23_24-34530-0000100,0,0,0,0,1,0,0,2023-11-14,2023-11-17
BT 23_24-34530-1000000,1,0,0,0,0,0,0,2023-11-14,2023-11-17
BT 23_24-34530-0111100,0,1,1,1,1,0,0,2023-11-14,2023-11-17
BT 23_24-34530-1111000,1,1,1,1,0,0,0,2023-11-14,2023-11-17
BT 23_24-34742,0,0,0,0,0,1,0,2023-11-18,2023-11-18
BT 23_24-34539,0,0,0,0,0,0,1,2023-11-19,2024-01-07
BT 23_24-34533,1,1,1,1,1,0,0,2023-11-20,2023-12-08
BT 23_24-34533-0000100,0,0,0,0,1,0,0,2023-11-20,2023-12-08
BT 23_24-34533-1000000,1,0,0,0,0,0,0,2023-11-20,2023-12-08
BT 23_24-34533-0111100,0,1,1,1,1,0,0,2023-11-20,2023-12-08
BT 23_24-34533-1111000,1,1,1,1,0,0,0,2023-11-20,2023-12-08
